FSC,NIIN,Nomenclature,part_number,cage_code,UI,Unit_Price,dss_weight,dss_cube,unit_pack_weight,unit_pack_cube,Imputed
4010,015949897,"WIRE ROPE ASSEMBLY,","12064-0150-01, 13095843","14304, 19200",EA,61.53,0.066,0.003,0.066,0.003,No
4020,015949892,FIBER ROPE ASSEMBLY,12005-6430-01,"7QAK7, 14304",EA,22.12,0.052,0.001,0.052,0.001,No
5930,015841859,"SWITCH,BOX","10427905, 11080-3980-01","A486G, 14304",EA,1353.07,2.5,0.148,2.5,0.148,No
5965,014637915,HANDSET,"SM-D-627649-NM, JKN00093357, CJ-H-250-125, 5965PL0225335, 10075-1399, 100751399, 10373330","A8547, 16575, 7QAK7, 8EPK9, C4680, 1MJJ6, 14304, 9009H, A0199, 005VU, A00AM, A486G",EA,100.41,0.975,0.039,0.975,0.039,No
5985,015807142,ANTENNA,"10373507, RF-3071-AT230, 2101103M0011, 5985PL1438609","14304, A8547, A486G, 7QAK7, A1615, 9009H",EA,1213,0.3,0.012,0.3,0.012,No
5995,015778908,"CABLE ASSEMBLY,SPEC","10373346, 12043-2710-A006, JKN00135182, 5995PL1439229","14304, A486G, 27456, A8547, C4680, 9009H",EA,622.49,0.92,0.111,0.92,0.111,No
5995,015778915,"CABLE ASSEMBLY,SPEC","12043-2760-A006, DCX-12043-2760-A006, 10356644, 12043-2760-SA001, 5995PL1439246","14304, 0ZWK8, 27456, A486G, A8547, 9009H",EA,610.71,0.7,0.089,0.7,0.089,No
5995,015835717,"CABLE ASSEMBLY,SPEC","5995PL1683846, 10373331, 12043-2750-A006, SN-1025","A8547, 9009H, A486G, 14304, 27456, 1HJX9",EA,193.19,0.3,0.028,0.3,0.028,No
5995,015840674,"CABLE ASSEMBLY,SPEC","10373459, 12064-5030-A1","A486G, 14304",EA,82.53,0.205,0.026,0.205,0.026,No
5995,015840728,"CABLE ASSEMBLY,SPEC","10373500, 12064-5020-A1","A486G, 14304",EA,30.07,0.115,0.002,0.115,0.002,No
5995,016038788,"CABLE ASSEMBLY,SPEC","12043-2740-A006, 10401588","14304, A486G",EA,1679.89,1.056,0.188,1.056,0.188,No
5995,016435139,"CABLE ASSEMBLY,SPEC",12023-1360-A002,14304,EA,143.12,0.66,0.147,0.66,0.147,No
5995,016782679,"CABLE ASSEMBLY,RADI","09022F5027, 09022F5027-1","01365, 49WJ6",EA,61.88,0.5,0.083,0.5,0.083,No
5995,016782783,"CABLE ASSEMBLY,RADI",09022F5028-2,"49WJ6, 01365",EA,88.68,1.332,0.304,1.332,0.304,No
5995,016782800,"CABLE ASSEMBLY,RADI",09022F5028-1,"49WJ6, 01365",EA,135.02,1.82,0.158,1.82,0.158,No
6145,251494725,"CABLE,POWER,ELECTRI",Not in FLIS,Not in FLIS,EA,251.21,0.099,0.306,0.099,0.306,Yes
6150,015009194,"CABLE ASSEMBLY,SPEC","10356646, 10535-070-A009, 10535-0707-A009, 326159-1, 6150PL1623857","A486G, 27456, 0451H, A8547, 004YK, 9009H, 14304",EA,193.19,0.909,0.043,0.909,0.043,No
2510,015670999,"WINDOW,VEHICULAR",T223308,75755,EA,702.97,35.22,1.96,35.22,1.96,No
